From row/To column;AFG;ALB;DZA;ASM;AND;AGO;AIA;ATG;ARG;ARM;ABW;AUS;AUT;AZE;BHS;BHR;BGD;BRB;BLR;BEL;BLZ;BEN;BMU;BTN;BOL;BIH;BWA;BRA;BRN;BGR;BFA;BDI;KHM;CMR;CAN;CPV;CYM;CAF;TCD;CHI;CHL;CHN;COL;COM;COD;COG;COK;CRI;CIV;HRV;CUB;CYP;CZE;DNK;DJI;DMA;DOM;ECU;EGY;SLV;GNQ;ERI;EST;ETH;FRO;FLK;FJI;FIN;FRA;GUF;PYF;GAB;GMB;GEO;DEU;GHA;GIB;GRC;GRL;GRD;GLP;GUM;GTM;GIN;GNB;GUY;HTI;HND;HKG;HUN;ISL;IND;IDN;IRN;IRQ;IRL;IMY;ISR;ITA;JAM;JPN;JOR;KAZ;KEN;KIR;PRK;KOR;KSV;KWT;KGZ;LAO;LVA;LBN;LSO;LBR;LBY;LIE;LTU;LUX;MAC;MKD;MDG;MWI;MYS;MDV;MLI;MLT;MHL;MTQ;MRT;MUS;MYT;MEX;FSM;MDA;MCO;MNG;MNE;MSR;MAR;MOZ;MMR;NAM;NRU;NPL;NLD;ANT;NCL;NZL;NIC;NER;NGA;NIU;NFK;MNP;NOR;OMN;PAK;PLW;PAN;PNG;PRY;PER;PHL;POL;PRT;PRI;QAT;REU;ROM;RUS;RWA;SHN;SPM;WSM;SMR;STP;SAU;SEN;SRB;SCG;SYC;SLE;SGP;SVK;SVN;SLB;SOM;ZAF;ESP;LKA;KNA;LCA;VCT;SDN;SUR;SWZ;SWE;CHE;SYR;TWN;TJK;TZA;THA;TLS;TGO;TKL;TON;TTO;TUN;TUR;TKM;TCA;TUV;UGA;UKR;ARE;GBR;USA;URY;UZB;VUT;VEN;VNM;VIR;VGB;WLF;PSE;YEM;ZMB;ZWE
AFG;0;0;16;0;0;0;0;0;9;0;0;70;148;0;0;61;119;0;0;91;0;0;0;0;0;0;0;0;0;175;0;0;4;0;3007;0;0;0;0;..;0;8;1;0;9;0;0;0;0;0;0;10;2;12;0;0;2;0;3819;0;0;0;0;0;9;0;7;2;177;0;0;0;0;0;256;6;0;26;0;0;0;12;0;0;0;0;0;0;66;116;0;3975;15;75075;200;7;..;19;224;0;5;49;0;66;0;0;0;..;1323;0;0;0;49;0;0;225;0;0;1;1;0;0;0;7;5;0;0;1;0;0;0;0;16;0;0;0;0;..;0;20;0;11;0;2;18;0;0;1;74;18;0;0;0;0;0;0;116;27957;0;0;0;0;1;8;2;3;0;261;0;0;0;0;0;0;0;0;0;887;0;..;3;0;0;4;0;0;0;0;2;0;25;0;0;0;4;0;0;39;127;6777;0;0;21;5;0;0;0;0;0;9;2573;0;0;0;1;0;759;50;207;0;0;3;0;0;0;0;0;46;1588;0;1
ALB;0;0;6;0;3;2;0;0;23;0;0;1525;2303;0;0;1;2;0;0;804;0;4;3;0;6;109;0;0;0;90;0;2;5;8;1733;9;0;7;0;..;74;1;0;0;685;18;0;5;44;1062;5;1;12;57;0;0;8;0;78;0;0;0;0;12;0;0;2;40;6911;0;0;4;0;0;2587;12;2;4074;0;0;1;2;6;19;0;0;0;0;12;574;2;47;29;0;5;9;..;34;11374;0;0;10;0;5;0;0;0;..;12;0;2;0;0;0;0;0;0;0;35;0;191;0;0;1;0;0;0;0;0;0;0;0;33;2;0;8;0;..;0;0;0;9;0;0;0;310;0;0;8;21;26;40;0;0;0;24;0;13;0;0;2;0;9;76;107;13;0;2;0;1345;0;15;0;0;0;0;0;4;2;..;1053;0;2;0;5;309;0;0;94;141;0;0;0;0;1;0;0;83;145;18;0;0;9;73;0;38;0;0;1;0;3240;0;0;0;0;0;3;6396;10865;0;0;0;0;0;1;0;0;20;13;0;7
DZA;30;0;0;0;1;4;0;2;34;0;5;353;1383;0;2;0;78;2;0;6775;0;63;0;0;0;31;5;45;0;34;93;0;11;0;1267;3;0;2;0;..;68;16;9;0;413;6;0;1;175;0;58;123;3;26;1;0;48;2;3222;2;0;0;0;68;0;0;2;122;1493990;260;289;5;2;0;7395;65;0;6035;0;0;465;8;2;1;0;0;2;0;132;385;0;9606;48;0;162;414;..;55710;11372;1;3;43;0;0;0;2;0;..;135;0;2;0;352;0;0;1390;3;0;144;0;53;2;1;6;1;441;0;0;437;1;0;0;21;2;0;354;0;..;0;30409;0;87;3;1;29;266;21;13;8;32;477;800;0;0;0;84;2;586;0;12;5;1;8;27;3;36;9;1882;638;0;0;0;0;14;0;1;0;9;3;..;295;0;17;3;1;0;0;0;382;0;1;0;0;0;729;0;2;1480;1811;8;0;0;0;0;0;4;0;0;17;18207;1096;0;0;0;2;0;6;30581;533;4;0;0;7;0;2;0;0;3926;1407;0;778
ASM;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;10;0;0;0;0;0;2;8;0;0;0;0;0;0;1;0;0;13;0;0;0;0;0;0;198;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;116;0;0;0;19;0;0;0;0;6;0;0;3;0;0;0;0;0;9;0;0;0;0;0;0;0;916;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;11528;0;0;2;0;0;0;0;0;0;3;0;0
AND;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;290;2;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;3;0;0;0;0;0;0;0;0;0;0;0;0
AGO;4;0;0;0;0;0;0;0;382;0;0;50;44;0;0;0;10;0;0;80;0;22;0;0;12;3;180;780;0;2;0;1;1;0;449;1;0;6;3;0;0;2;40;0;1108;1413;0;0;62;0;0;27;0;3;4;0;5;18;0;0;0;10;0;182;0;0;0;14;18448;47;0;103;6;0;348;0;0;170;0;0;2;1;0;0;0;8;0;0;18;50;0;1230;59;0;0;44;0;0;387;0;0;0;0;0;0;0;0;0;0;0;3;0;0;34;0;0;0;0;16;0;6;4;35;0;0;0;0;0;2;0;14;0;1;0;0;10;0;0;0;0;12;107;21219;0;4;1;0;2;5;6;0;285;0;0;0;4;0;75;0;2;0;14;146;36;0;40277;0;0;5;0;0;0;0;0;0;0;594;0;0;0;33;27;0;0;0;0;0;15;7109;0;0;0;0;0;215;0;64;156;62;0;0;0;20;0;0;2;0;0;0;0;0;0;0;0;10;0;0;3222;316;47;0;0;130;0;0;0;0;0;0;33853;60
AIA;0;0;0;0;0;0;0;8;0;0;70;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;12;291;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;25;17;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;317;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440;0;0;0;3;0;0;0;0;5;3;0;0;0;0;0;195;3;0;0;0;0;0
ATG;0;0;0;0;0;0;24;0;0;0;15;4;0;0;31;0;0;273;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;162;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;219;0;0;0;0;132;556;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;100;59;0;0;0;0;33;26;0;0;5;0;0;116;0;0;0;0;0;3;102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;249;0;0;212;0;0;0;0;178;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;92;0;0;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;256;77;29;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1560;0;0;0;11;0;0;0;0;9;91;0;0;0;0;0;735;323;0;0;2;0;0
ARG;0;0;1;0;24;2;0;4;0;0;8;434;46;0;25;0;0;20;0;420;7;4;3;0;9976;2;0;17026;0;10;0;1;4;7;2421;5;0;0;1;0;12739;8;1418;0;45;0;0;203;11;0;360;26;4;868;0;1;809;1004;22;118;0;0;0;0;5;2;12;98;1067;10;4;0;0;0;1767;0;5;66;1;1;2;40;267;3;0;205;4;31;0;225;0;10;15;0;19;60;0;1315;17211;3;78;3;0;0;0;0;0;0;5;0;0;0;8;14;7;0;2;0;7;0;3;0;0;2;0;0;0;0;4;0;3;0;1638;9;0;21;0;0;0;1;3;28;15;5;0;226;27;6;145;118;46;145;0;0;0;237;2;0;0;456;7;24563;3877;113;4;144;392;45;1;0;0;2;1;0;4;0;0;0;9;0;16;0;9;0;1;1;1;0;672;20804;0;0;1;0;0;275;11;620;541;3;0;0;5;0;0;69;0;0;40;3;233;0;0;0;0;0;2;319;55325;23013;0;2;3827;0;0;0;0;73;38;0;68
ARM;0;5;0;0;0;0;0;0;857;0;0;484;99;168047;0;0;0;0;0;189;0;2;3;0;6;0;0;734;0;894;0;17;3;14;1997;0;0;37;43;0;33;62;7;0;2837;9;0;0;11;5;0;143;33;208;3;0;2;6;54;0;0;8;0;49;0;0;1;26;175;0;0;4;2;39045;745;5;0;123;0;0;0;2;0;59;0;3;0;0;530;1059;0;33;68;0;141;2;0;1466;21;0;1;0;6364;1271;0;6;2;0;4;1150;6;0;9;0;2;9;0;0;1;8;0;72;0;0;0;8;1;0;0;0;0;0;51;0;613;0;0;0;0;0;6;1254;0;0;0;4;0;0;5;0;25;50;0;0;0;5;0;3;0;0;0;47;41;51;2641;0;0;50;0;5;84996;19;0;0;0;0;0;1;0;0;3;0;1;0;13;0;0;12;80;0;0;0;0;0;681;0;0;105;51;6;0;1543;92;277;0;37;0;0;0;0;250;3196;0;0;24;21959;0;491;69991;143;8304;0;57;3;0;0;0;32;1090;1;14
ABW;0;0;0;0;0;0;4;2;2;0;0;0;0;0;7;0;0;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;72;0;0;0;0;5;258;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;1;9;0;0;1;0;0;2;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;4;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;69;0;0;0;4;0;0;0;0;167;17;1;0;0;1;0;167;3;0;0;0;0;0
