AFG,ALB,DZA,ASM,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHI,CHL,CHN,COL,COM,COD,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,FJI,FIN,FRA,GUF,PYF,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,IMY,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KSV,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MYT,MEX,FSM,MDA,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NCL,NZL,NIC,NER,NGA,NIU,NFK,MNP,NOR,OMN,PAK,PLW,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,REU,ROM,RUS,RWA,SHN,SPM,WSM,SMR,STP,SAU,SEN,SRB,SCG,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA,LCA,VCT,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,VIR,VGB,WLF,PSE,YEM,ZMB,ZWE
0,0,"2,08",0,0,0,0,0,"1,17",0,0,"9,1","19,24",0,0,"7,93","15,47",0,0,"11,83",0,0,0,0,0,0,0,0,0,"22,75",0,0,"0,52",0,"390,91",0,0,0,0,0,0,"1,04","0,13",0,"1,17",0,0,0,0,0,0,"1,3","0,26","1,56",0,0,"0,26",0,"496,47",0,0,0,0,0,"1,17",0,"0,91","0,26","23,01",0,0,0,0,0,"33,28","0,78",0,"3,38",0,0,0,"1,56",0,0,0,0,0,0,"8,58","15,08",0,"516,75","1,95","9759,75",26,"0,91",0,"2,47","29,12",0,"0,65","6,37",0,"8,58",0,0,0,0,"171,99",0,0,0,"6,37",0,0,"29,25",0,0,"0,13","0,13",0,0,0,"0,91","0,65",0,0,"0,13",0,0,0,0,"2,08",0,0,0,0,0,0,"2,6",0,"1,43",0,"0,26","2,34",0,0,"0,13","9,62","2,34",0,0,0,0,0,0,"15,08","3634,41",0,0,0,0,"0,13","1,04","0,26","0,39",0,"33,93",0,0,0,0,0,0,0,0,0,"115,31",0,0,"0,39",0,0,"0,52",0,0,0,0,"0,26",0,"3,25",0,0,0,"0,52",0,0,"5,07","16,51","881,01",0,0,"2,73","0,65",0,0,0,0,0,"1,17","334,49",0,0,0,"0,13",0,"98,67","6,5","26,91",0,0,"0,39",0,0,0,0,0,"5,98","206,44",0,"0,13"
0,0,"0,78",0,"0,39","0,26",0,0,"2,99",0,0,"198,25","299,39",0,0,"0,13","0,26",0,0,"104,52",0,"0,52","0,39",0,"0,78","14,17",0,0,0,"11,7",0,"0,26","0,65","1,04","225,29","1,17",0,"0,91",0,0,"9,62","0,13",0,0,"89,05","2,34",0,"0,65","5,72","138,06","0,65","0,13","1,56","7,41",0,0,"1,04",0,"10,14",0,0,0,0,"1,56",0,0,"0,26","5,2","898,43",0,0,"0,52",0,0,"336,31","1,56","0,26","529,62",0,0,"0,13","0,26","0,78","2,47",0,0,0,0,"1,56","74,62","0,26","6,11","3,77",0,"0,65","1,17",0,"4,42","1478,62",0,0,"1,3",0,"0,65",0,0,0,0,"1,56",0,"0,26",0,0,0,0,0,0,0,"4,55",0,"24,83",0,0,"0,13",0,0,0,0,0,0,0,0,"4,29","0,26",0,"1,04",0,0,0,0,0,"1,17",0,0,0,"40,3",0,0,"1,04","2,73","3,38","5,2",0,0,0,"3,12",0,"1,69",0,0,"0,26",0,"1,17","9,88","13,91","1,69",0,"0,26",0,"174,85",0,"1,95",0,0,0,0,0,"0,52","0,26",0,"136,89",0,"0,26",0,"0,65","40,17",0,0,"12,22","18,33",0,0,0,0,"0,13",0,0,"10,79","18,85","2,34",0,0,"1,17","9,49",0,"4,94",0,0,"0,13",0,"421,2",0,0,0,0,0,"0,39","831,48","1412,45",0,0,0,0,0,"0,13",0,0,"2,6","1,69",0,"0,91"
"3,9",0,0,0,"0,13","0,52",0,"0,26","4,42",0,"0,65","45,89","179,79",0,"0,26",0,"10,14","0,26",0,"880,75",0,"8,19",0,0,0,"4,03","0,65","5,85",0,"4,42","12,09",0,"1,43",0,"164,71","0,39",0,"0,26",0,0,"8,84","2,08","1,17",0,"53,69","0,78",0,"0,13","22,75",0,"7,54","15,99","0,39","3,38","0,13",0,"6,24","0,26","418,86","0,26",0,0,0,"8,84",0,0,"0,26","15,86","194218,7","33,8","37,57","0,65","0,26",0,"961,35","8,45",0,"784,55",0,0,"60,45","1,04","0,26","0,13",0,0,"0,26",0,"17,16","50,05",0,"1248,78","6,24",0,"21,06","53,82",0,"7242,3","1478,36","0,13","0,39","5,59",0,0,0,"0,26",0,0,"17,55",0,"0,26",0,"45,76",0,0,"180,7","0,39",0,"18,72",0,"6,89","0,26","0,13","0,78","0,13","57,33",0,0,"56,81","0,13",0,0,"2,73","0,26",0,"46,02",0,0,0,"3953,17",0,"11,31","0,39","0,13","3,77","34,58","2,73","1,69","1,04","4,16","62,01",104,0,0,0,"10,92","0,26","76,18",0,"1,56","0,65","0,13","1,04","3,51","0,39","4,68","1,17","244,66","82,94",0,0,0,0,"1,82",0,"0,13",0,"1,17","0,39",0,"38,35",0,"2,21","0,39","0,13",0,0,0,"49,66",0,"0,13",0,0,0,"94,77",0,"0,26","192,4","235,43","1,04",0,0,0,0,0,"0,52",0,0,"2,21","2366,91","142,48",0,0,0,"0,26",0,"0,78","3975,53","69,29","0,52",0,0,"0,91",0,"0,26",0,0,"510,38","182,91",0,"101,14"
0,0,0,0,0,0,0,0,0,0,0,"0,39",0,0,0,0,0,0,0,"1,04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,7",0,0,0,0,0,0,0,0,0,"0,65",0,0,0,0,0,0,0,0,0,0,0,"0,39",0,0,0,0,0,0,0,0,0,"1,56",0,0,0,0,0,0,0,"1,3",0,0,0,0,0,"0,26","1,04",0,0,0,0,0,0,"0,13",0,0,"1,69",0,0,0,0,0,0,"25,74",0,0,0,0,0,"0,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,3","0,26",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,13","15,08",0,0,0,"2,47",0,0,0,0,"0,78",0,0,"0,39",0,0,0,0,0,"1,17",0,0,0,0,0,0,0,"119,08",0,0,0,0,0,0,0,0,0,0,0,"0,65",0,0,0,0,0,0,0,0,0,0,0,"2,73",0,0,0,0,0,0,0,0,0,"0,26",0,0,0,0,0,0,0,0,0,"1498,64",0,0,"0,26",0,0,0,0,0,0,"0,39",0,0
0,0,0,0,0,0,0,0,"0,52",0,0,0,"0,52",0,0,0,0,0,0,"0,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,42",0,0,0,0,0,0,0,0,0,"0,13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,92",0,0,0,0,0,"0,52",0,0,"0,13",0,0,0,0,0,0,0,0,0,0,0,"2,08",0,0,0,0,0,0,0,0,"2,34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,7","0,26",0,0,0,0,0,0,0,0,"1,69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,01","0,39",0,0,0,0,0,0,0,0,0,0,0,0
"0,52",0,0,0,0,0,0,0,"49,66",0,0,"6,5","5,72",0,0,0,"1,3",0,0,"10,4",0,"2,86",0,0,"1,56","0,39","23,4","101,4",0,"0,26",0,"0,13","0,13",0,"58,37","0,13",0,"0,78","0,39",0,0,"0,26","5,2",0,"144,04","183,69",0,0,"8,06",0,0,"3,51",0,"0,39","0,52",0,"0,65","2,34",0,0,0,"1,3",0,"23,66",0,0,0,"1,82","2398,24","6,11",0,"13,39","0,78",0,"45,24",0,0,"22,1",0,0,"0,26","0,13",0,0,0,"1,04",0,0,"2,34","6,5",0,"159,9","7,67",0,0,"5,72",0,0,"50,31",0,0,0,0,0,0,0,0,0,0,0,"0,39",0,0,"4,42",0,0,0,0,"2,08",0,"0,78","0,52","4,55",0,0,0,0,0,"0,26",0,"1,82",0,"0,13",0,0,"1,3",0,0,0,0,"1,56","13,91","2758,47",0,"0,52","0,13",0,"0,26","0,65","0,78",0,"37,05",0,0,0,"0,52",0,"9,75",0,"0,26",0,"1,82","18,98","4,68",0,"5236,01",0,0,"0,65",0,0,0,0,0,0,0,"77,22",0,0,0,"4,29","3,51",0,0,0,0,0,"1,95","924,17",0,0,0,0,0,"27,95",0,"8,32","20,28","8,06",0,0,0,"2,6",0,0,"0,26",0,0,0,0,0,0,0,0,"1,3",0,0,"418,86","41,08","6,11",0,0,"16,9",0,0,0,0,0,0,"4400,89","7,8"
0,0,0,0,0,0,0,"1,04",0,0,"9,1",0,0,0,0,0,0,"6,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,06",0,0,0,0,"1,56","37,83",0,0,0,0,0,0,0,0,0,0,0,0,"0,13",0,0,0,0,0,0,0,0,0,"3,25","2,21",0,0,0,0,0,"0,91",0,0,0,0,0,0,0,0,0,0,0,0,"3,77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,47",0,0,0,0,0,0,0,"109,07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,21","1,69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57,2",0,0,0,"0,39",0,0,0,0,"0,65","0,39",0,0,0,0,0,"25,35","0,39",0,0,0,0,0
0,0,0,0,0,0,"3,12",0,0,0,"1,95","0,52",0,0,"4,03",0,0,"35,49",0,0,0,0,"1,04",0,0,0,0,0,0,0,0,0,0,0,"21,06",0,0,0,0,0,0,0,0,0,"0,26",0,0,0,0,0,"28,47",0,0,0,0,"17,16","72,28",0,0,0,0,0,0,0,0,0,0,0,0,"0,39",0,0,0,0,0,0,0,0,0,13,"7,67",0,0,0,0,"4,29","3,38",0,0,"0,65",0,0,"15,08",0,0,0,0,0,"0,39","13,26",0,0,0,0,0,0,0,0,0,0,"0,13",0,0,0,"0,13",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,26",0,0,0,"0,39",0,0,0,0,0,"32,37",0,0,"27,56",0,0,0,0,"23,14",0,0,0,"0,13","0,39",0,0,0,0,0,0,0,0,0,0,0,"11,96",0,0,"19,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,26",0,0,"33,28","10,01","3,77",0,0,0,0,0,0,0,0,0,"0,13",0,"0,26",0,0,"202,8",0,0,0,"1,43",0,0,0,0,"1,17","11,83",0,0,0,0,0,"95,55","41,99",0,0,"0,26",0,0
0,0,"0,13",0,"3,12","0,26",0,"0,52",0,0,"1,04","56,42","5,98",0,"3,25",0,0,"2,6",0,"54,6","0,91","0,52","0,39",0,"1296,88","0,26",0,"2213,38",0,"1,3",0,"0,13","0,52","0,91","314,73","0,65",0,0,"0,13",0,"1656,07","1,04","184,34",0,"5,85",0,0,"26,39","1,43",0,"46,8","3,38","0,52","112,84",0,"0,13","105,17","130,52","2,86","15,34",0,0,0,0,"0,65","0,26","1,56","12,74","138,71","1,3","0,52",0,0,0,"229,71",0,"0,65","8,58","0,13","0,13","0,26","5,2","34,71","0,39",0,"26,65","0,52","4,03",0,"29,25",0,"1,3","1,95",0,"2,47","7,8",0,"170,95","2237,43","0,39","10,14","0,39",0,0,0,0,0,0,"0,65",0,0,0,"1,04","1,82","0,91",0,"0,26",0,"0,91",0,"0,39",0,0,"0,26",0,0,0,0,"0,52",0,"0,39",0,"212,94","1,17",0,"2,73",0,0,0,"0,13","0,39","3,64","1,95","0,65",0,"29,38","3,51","0,78","18,85","15,34","5,98","18,85",0,0,0,"30,81","0,26",0,0,"59,28","0,91","3193,19","504,01","14,69","0,52","18,72","50,96","5,85","0,13",0,0,"0,26","0,13",0,"0,52",0,0,0,"1,17",0,"2,08",0,"1,17",0,"0,13","0,13","0,13",0,"87,36","2704,52",0,0,"0,13",0,0,"35,75","1,43","80,6","70,33","0,39",0,0,"0,65",0,0,"8,97",0,0,"5,2","0,39","30,29",0,0,0,0,0,"0,26","41,47","7192,25","2991,69",0,"0,26","497,51",0,0,0,0,"9,49","4,94",0,"8,84"
0,"0,65",0,0,0,0,0,0,"111,41",0,0,"62,92","12,87","21846,11",0,0,0,0,0,"24,57",0,"0,26","0,39",0,"0,78",0,0,"95,42",0,"116,22",0,"2,21","0,39","1,82","259,61",0,0,"4,81","5,59",0,"4,29","8,06","0,91",0,"368,81","1,17",0,0,"1,43","0,65",0,"18,59","4,29","27,04","0,39",0,"0,26","0,78","7,02",0,0,"1,04",0,"6,37",0,0,"0,13","3,38","22,75",0,0,"0,52","0,26","5075,85","96,85","0,65",0,"15,99",0,0,0,"0,26",0,"7,67",0,"0,39",0,0,"68,9","137,67",0,"4,29","8,84",0,"18,33","0,26",0,"190,58","2,73",0,"0,13",0,"827,32","165,23",0,"0,78","0,26",0,"0,52","149,5","0,78",0,"1,17",0,"0,26","1,17",0,0,"0,13","1,04",0,"9,36",0,0,0,"1,04","0,13",0,0,0,0,0,"6,63",0,"79,69",0,0,0,0,0,"0,78","163,02",0,0,0,"0,52",0,0,"0,65",0,"3,25","6,5",0,0,0,"0,65",0,"0,39",0,0,0,"6,11","5,33","6,63","343,33",0,0,"6,5",0,"0,65","11049,48","2,47",0,0,0,0,0,"0,13",0,0,"0,39",0,"0,13",0,"1,69",0,0,"1,56","10,4",0,0,0,0,0,"88,53",0,0,"13,65","6,63","0,78",0,"200,59","11,96","36,01",0,"4,81",0,0,0,0,"32,5","415,48",0,0,"3,12","2854,67",0,"63,83","9098,83","18,59","1079,52",0,"7,41","0,39",0,0,0,"4,16","141,7","0,13","1,82"
